run_accession,sample_accession,study_accession,sample_description,study_title,library_strategy,scientific_name,instrument_platform,instrument_model,collection_date_end,location,lat,lon,country,fastq_bytes,fastq_ftp
SRR6820482,SAMN08667649,PRJNA437562,Mangrove soil,Mangrove metavirome,WGS,soil metagenome,ILLUMINA,Illumina HiSeq 4000,2016-08-31,,,,"China:Guanxi, Beibu bay",664293217;860299461,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6820482/SRR6820482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6820482/SRR6820482_2.fastq.gz
SRR6820484,SAMN08667647,PRJNA437562,Mangrove soil,Mangrove metavirome,WGS,soil metagenome,ILLUMINA,Illumina HiSeq 4000,2015-08-31,,,,"China:Guanxi, Beibu bay",761183546;990840409,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6820484/SRR6820484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6820484/SRR6820484_2.fastq.gz
SRR6820485,SAMN08667652,PRJNA437562,Mangrove soil,Mangrove metavirome,WGS,soil metagenome,ILLUMINA,Illumina HiSeq 4000,2017-03-31,,,,"China:Hainan, Yalong bay",915466402;1212721632,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6820485/SRR6820485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6820485/SRR6820485_2.fastq.gz
ERR4833476,SAMEA7567423,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,3585629891;3960554345,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4833476/ERR4833476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4833476/ERR4833476_2.fastq.gz
ERR4833477,SAMEA7567424,PRJEB41295,Mangrove rhizosphere metagenome,Native and introduced mangroves select distinct microbiomes for nitrogen and sulfur cycling,WGS,mangrove metagenome,ILLUMINA,NextSeq 550,2018-12-31,23.27 N 116.52 E,23.27,116.52,China,3675375581;4063769533,ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4833477/ERR4833477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4833477/ERR4833477_2.fastq.gz
ERR12329181,SAMEA114664778,PRJEB70438,Site 13A1 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-13,7.466203 N 81.732981 W,7.466203,-81.732981,Panama,857821694;843231396,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/081/ERR12329181/ERR12329181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/081/ERR12329181/ERR12329181_2.fastq.gz
ERR12329183,SAMEA114664780,PRJEB70438,Site 13A3 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-13,7.465868 N 81.726241 W,7.465868,-81.726241,Panama,555010025;541085504,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/083/ERR12329183/ERR12329183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/083/ERR12329183/ERR12329183_2.fastq.gz
ERR12329184,SAMEA114664781,PRJEB70438,Site 13A4 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-13,7.462678 N 81.722228 W,7.462678,-81.722228,Panama,590035569;603841669,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/084/ERR12329184/ERR12329184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/084/ERR12329184/ERR12329184_2.fastq.gz
ERR12329188,SAMEA114664785,PRJEB70438,Site 14A4 Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-10-14,7.385914 N 81.644781 W,7.385914,-81.644781,Panama,783384640;765201218,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/088/ERR12329188/ERR12329188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/088/ERR12329188/ERR12329188_2.fastq.gz
ERR12329210,SAMEA114664807,PRJEB70438,Site PBL Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-22,9.372884 N 82.290796 W,9.372884,-82.290796,Panama,607775121;620663962,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/010/ERR12329210/ERR12329210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/010/ERR12329210/ERR12329210_2.fastq.gz
ERR12329211,SAMEA114664808,PRJEB70438,Site PJN Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-18,9.298478 N 82.291626 W,9.298478,-82.291626,Panama,1254747471;1278026391,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/011/ERR12329211/ERR12329211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/011/ERR12329211/ERR12329211_2.fastq.gz
ERR12329212,SAMEA114664809,PRJEB70438,Site PPR Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-21,9.23193 N 82.121172 W,9.23193,-82.121172,Panama,787502767;773513995,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/012/ERR12329212/ERR12329212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/012/ERR12329212/ERR12329212_2.fastq.gz
ERR12329214,SAMEA114664811,PRJEB70438,Site ROL Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-20,9.21328 N 82.321655 W,9.21328,-82.321655,Panama,735425901;748251767,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/014/ERR12329214/ERR12329214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/014/ERR12329214/ERR12329214_2.fastq.gz
ERR12329215,SAMEA114664812,PRJEB70438,Site SCR Mangrove sample,Assembly-based metagenomics of coral reef & mangrove water samples from both sides of the Isthmus of Panama.,WGS,uncultured bacterium,ILLUMINA,NextSeq 550,2017-11-20,9.288028 N 82.112533 W,9.288028,-82.112533,Panama,899255807;882493050,ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/015/ERR12329215/ERR12329215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR123/015/ERR12329215/ERR12329215_2.fastq.gz
SRR17658262,SAMN25078545,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2306559317;2451278707,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/062/SRR17658262/SRR17658262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/062/SRR17658262/SRR17658262_2.fastq.gz
SRR17658267,SAMN25078541,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2476667887;2652808811,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/067/SRR17658267/SRR17658267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/067/SRR17658267/SRR17658267_2.fastq.gz
SRR17658269,SAMN25078539,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2412199078;2593155762,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/069/SRR17658269/SRR17658269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/069/SRR17658269/SRR17658269_2.fastq.gz
SRR17658271,SAMN25078537,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2510664886;2664180038,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/071/SRR17658271/SRR17658271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/071/SRR17658271/SRR17658271_2.fastq.gz
SRR17658272,SAMN25078536,PRJNA798446,"Mangrove sediments in the Qi’ao Mangrove Wetland Park of Guangdong province, China",Shotgun metagenome of microbial community in mangrove sediments in a depth range of 100 cm,WGS,sediment metagenome,ILLUMINA,Illumina NovaSeq 6000,2019-12-21,22.43 N 113.64 E,22.43,113.64,China:Pearl River Estuary,2400439626;2538679957,ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/072/SRR17658272/SRR17658272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/072/SRR17658272/SRR17658272_2.fastq.gz
